date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:39	291/291	---M--	200	added ('OK')	image/png	etag:%22ecef5c5541369f40635e91dde6971d1a%22	https://static.intercomassets.com/alexandria/assets/intercom-a6a6ac0f033657af1aebe2e9e15b94a3cd5eabf6ae8b9916df6ea49099a894d8.png	D:/Temp/frameio/frame%20io%20guide/static.intercomassets.com/alexandria/assets/intercom-a6a6ac0f033657af1aebe2e9e15b94a3cd5eabf6ae8b9916df6ea49099a894d8.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:39	51471/51471	---MCZ	200	added ('OK')	image/png	date:Tue,%2007%20May%202019%2011:20:11%20GMT	https://downloads.intercomcdn.com/i/o/119550936/dc0e4f973af86280a51d4d28/Screenshot+2019-05-07+at+12.17.31.png	D:/Temp/frameio/frame%20io%20guide/downloads.intercomcdn.com/i/o/119550936/dc0e4f973af86280a51d4d28/Screenshot%202019-05-07%20at%2012.17.31.png_;%20filename_=UTF-8''Screenshot%202019-05-07%20at%2012.17.31.png	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:40	171929/171929	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2004%20Oct%202019%2013:10:42%20GMT	https://static.intercomassets.com/alexandria/assets/application-db32c1fdaa20f624fe10e445a92823b27d87e226c1fff9700df5052473ac410f.js	D:/Temp/frameio/frame%20io%20guide/static.intercomassets.com/alexandria/assets/application-db32c1fdaa20f624fe10e445a92823b27d87e226c1fff9700df5052473ac410f.js	(from https://support.frame.io/en/articles/1161479-review-links-explained-for-clients)
17:34:40	24464/24464	---MCZ	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202019%2014:23:51%20GMT	https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css	(from https://static.intercomassets.com/alexandria/assets/application-00b67c7c87b72734807679ffe67cf68adf711566c397121c5d3432b6d9ff1657.css)
17:34:40	1761217/1761217	---M--	200	added ('OK')	image/png	etag:%222c3085987dd57dfa7d37a88850491ad3%22	https://static.intercomassets.com/alexandria/assets/emoji-spritemap-32-148a4a6a2d1fdd0c7b50cf0f760692515d2f775104d1935d6aba15fc21af72b2.png	D:/Temp/frameio/frame%20io%20guide/static.intercomassets.com/alexandria/assets/emoji-spritemap-32-148a4a6a2d1fdd0c7b50cf0f760692515d2f775104d1935d6aba15fc21af72b2.png	(from https://static.intercomassets.com/alexandria/assets/application-00b67c7c87b72734807679ffe67cf68adf711566c397121c5d3432b6d9ff1657.css)
17:34:41	27870/27870	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:49%20GMT	https://fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.eot?	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italicd41d.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:34:41	27870/27870	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:49%20GMT	https://fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.eot	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:34:41	9880/9880	---M--	200	added ('OK')	font/woff2	etag:%22d0f5337c4e95b48a91c96e3842033296%22	https://fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.woff2	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.woff2	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:34:42	13204/13204	---M--	200	added ('OK')	font/woff	etag:%221f28d5c4969ae95b8e03094dbfd039f5%22	https://fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.woff	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/cyrillic-ext/proxima-nova-cyrillic-ext-bold-italic.woff	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
17:34:42	8848/8848	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2013%20Jun%202019%2014:23:49%20GMT	https://fonts.intercomcdn.com/proxima-nova/cyrillic/proxima-nova-cyrillic-bold-italic.eot	D:/Temp/frameio/frame%20io%20guide/fonts.intercomcdn.com/proxima-nova/cyrillic/proxima-nova-cyrillic-bold-italic.eot	(from https://fonts.intercomcdn.com/proxima-nova/proxima-nova-all.css)
